termCode,termExtendedName,termShortName,scientific_name_clean,scope_note_clean,allFacets,nlp_text,nlp_word_count,common_names
A000A,Teff grain,,Eragrostis tef (Zucc.) Trotter,"Cereal grains from the plant classified under the species Eragrostis tef (Zucc.) Trotter, commonly known as Teff grain or Tef grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000A#F01.A059P$F02.A066Q$F27.A000A$F33.A0C4A,"Teff grain. Tef grain. Eragrostis tef (Zucc.) Trotter. Cereal grains from the plant classified under the species Eragrostis tef (Zucc.) Trotter, commonly known as Teff grain or Tef grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",70,Tef grain
A000B,Finger millet grain,,Eleusine coracana (L.) Gaertn subsp. coracan,"Cereal grains from the plant classified under the species Eleusine coracana (L.) Gaertn subsp. coracan, commonly known as Finger millet grain or African millet grain or Koracan. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000B#F01.A059N$F02.A066Q$F27.A000B$F33.A0C4A,"Finger millet grain. African millet grain. Koracan. Eleusine coracana (L.) Gaertn subsp. coracan. Cereal grains from the plant classified under the species Eleusine coracana (L.) Gaertn subsp. coracan, commonly known as Finger millet grain or African millet grain or Koracan. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",81,African millet grain | Koracan
A000C,African millet grain,,Eleusine coracana subsp. Africana,"The term is deprecated. Corn salad as living plant including all members of the taxonomic group Valeriana locusta (L.) Laterrade, Valerianella olitoria. The part considered is by default the whole living organism.",A000C#F01.A059Q$F02.A066Q$F27.A000C,"African millet grain. Eleusine coracana subsp. Africana. The term is deprecated. Corn salad as living plant including all members of the taxonomic group Valeriana locusta (L.) Laterrade, Valerianella olitoria. The part considered is by default the whole living organism.",39,
A000D,Foxtail millet grain,,Setaria italica (L.) P.Beauv.,"Cereal grains from the plant classified under the species Setaria italica (L.) P.Beauv., commonly known as Foxtail millet grain or Foxtail millet. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000D#F01.A059R$F02.A066Q$F27.A000D$F33.A0C4A,"Foxtail millet grain. Foxtail millet. Setaria italica (L.) P.Beauv. Cereal grains from the plant classified under the species Setaria italica (L.) P.Beauv., commonly known as Foxtail millet grain or Foxtail millet. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",72,Foxtail millet
A000E,Little millet grain,,Panicum sumatrense Roth,"Cereal grains from the plant classified under the species Panicum sumatrense Roth, commonly known as Little millet grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000E#F01.A059S$F02.A066Q$F27.A000E$F33.A0C4A,"Little millet grain. Panicum sumatrense Roth. Cereal grains from the plant classified under the species Panicum sumatrense Roth, commonly known as Little millet grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",65,
A000F,Oat and similar-,,,"The group includes any type of grain from Oat or species similar to Oat or sharing the same pesticide MRL, as defined by the EU pesticide regulation.",A000F#F01.A058Z$F02.A066Q$F27.A000F$F33.A0C4A,"Oat and similar-. The group includes any type of grain from Oat or species similar to Oat or sharing the same pesticide MRL, as defined by the EU pesticide regulation.",30,
A000G,Oat grain,,Avena sativa L.,"Cereal grains from the plant classified under the species Avena sativa L., commonly known as Oat grain or Cultivated oat. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000G#F01.A059V$F02.A066Q$F27.A000G$F33.A0C4A,"Oat grain. Cultivated oat. Avena sativa L. Cereal grains from the plant classified under the species Avena sativa L., commonly known as Oat grain or Cultivated oat. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",68,Cultivated oat
A000H,"Oat grain, red",,Avena byzantina K. Koch,"Cereal grains from the plant classified under the species Avena byzantina K. Koch, commonly known as Oat grain, red. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000H#F01.A059X$F02.A066Q$F27.A000H$F33.A0C4A,"Oat grain, red. Avena byzantina K. Koch. Cereal grains from the plant classified under the species Avena byzantina K. Koch, commonly known as Oat grain, red. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",67,
A000J,Grains and grain-based products,,,"The category covers all cereals and cereal-like grains in all their forms, including derivatives and cereal-based products. So, this category contains the raw commodities as well as the primary derivatives of them, like flours, semolina, germ and bran. Moreover, products mainly obtained from cereals and cereal-like grains are included, regardless if they are simple composites, like bread, breakfast cereals and pasta, or complex composites, like filled fine bakery products. The latter are included because of their perceived nature according to tradition.",A000J,"Grains and grain-based products. The category covers all cereals and cereal-like grains in all their forms, including derivatives and cereal-based products. So, this category contains the raw commodities as well as the primary derivatives of them, like flours, semolina, germ and bran. Moreover, products mainly obtained from cereals and cereal-like grains are included, regardless if they are simple composites, like bread, breakfast cereals and pasta, or complex composites, like filled fine bakery products. The latter are included because of their perceived nature according to tradition.",85,
A000L,Cereal grains (and cereal-like grains),,,"The group includes any type of Cereal grain and cereal-like grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000L#F01.A058Z$F02.A066Q$F27.A000L$F33.A0C4A,"Cereal grains (and cereal-like grains). The group includes any type of Cereal grain and cereal-like grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",57,
